nivel,codigo_etapa1,codigo_etapa2,nome_etapa1,nome_etapa2
assunto,METROL_06,METROL_04,Instrumentos de Medição,Instrumentos de Medição
subassunto,METROL_06_001,METROL_04_001,Instrumentos de Medição Dimensional,Instrumentos de Medição Dimensional
subassunto,METROL_06_002,METROL_04_002,Sensores e Transdutores,Sensores e Transdutores
assunto,METROL_05,METROL_05,Sistema Internacional de Unidades,Sistema Internacional de Unidades
subassunto,METROL_05_001,METROL_05_001,Grandezas e Unidades,Grandezas e Unidades
subassunto,METROL_05_002,METROL_05_002,Prefixos e Conversões,Prefixos e Conversões
subassunto,METROL_05_003,METROL_05_003,Unidades SI,Unidades SI
assunto,METROL_07,METROL_06,Tolerâncias e Ajustes,Tolerâncias e Ajustes
subassunto,METROL_07_002,METROL_06_001,"Folgas, Interferências e Tolerância Dimensional","Folgas, Interferências e Tolerância Dimensional"
subassunto,METROL_07_001,METROL_06_002,Sistema de Ajustes (Furo-Base e Eixo-Base),Sistema de Ajustes (Furo-Base e Eixo-Base)
assunto,PRB_EST_01,PRB_EST_01,Correlação e Regressão,Correlação e Regressão
subassunto,PRB_EST_01_001,PRB_EST_01_001,Coeficientes de Ajuste e Determinação,Coeficientes de Ajuste e Determinação
subassunto,PRB_EST_01_002,PRB_EST_01_002,"Correlação, Covariância e Diagrama de Dispersão","Correlação, Covariância e Diagrama de Dispersão"
subassunto,PRB_EST_01_003,PRB_EST_01_003,Interpretação e Ajuste de Modelos Lineares,Interpretação e Ajuste de Modelos Lineares
subassunto,PRB_EST_01_004,PRB_EST_01_004,Regressão Linear e Mínimos Quadrados,Regressão Linear e Mínimos Quadrados
assunto,PRB_EST_02,PRB_EST_02,Estatística Descritiva,Estatística Descritiva
subassunto,PRB_EST_02_002,PRB_EST_02_001,"Boxplot, Quartis e Outliers","Boxplot, Quartis e Outliers"
subassunto,PRB_EST_02_003,PRB_EST_02_002,"Gráficos, Tabelas e Tendências","Gráficos, Tabelas e Tendências"
subassunto,PRB_EST_02_004,PRB_EST_02_003,Medidas de Dispersão e Forma,Medidas de Dispersão e Forma
subassunto,PRB_EST_02_005,PRB_EST_02_004,Medidas de Tendência Central,Medidas de Tendência Central
assunto,PRB_EST_03,PRB_EST_03,Inferência Estatística,Inferência Estatística
subassunto,PRB_EST_03_001,PRB_EST_03_001,Amostragem Estatística,Amostragem Estatística
subassunto,PRB_EST_03_002,PRB_EST_03_002,Delineamento Experimental e ANOVA,Delineamento Experimental e ANOVA
subassunto,PRB_EST_03_003,PRB_EST_03_003,Distribuições Amostrais e Estimação,Distribuições Amostrais e Estimação
subassunto,PRB_EST_03_004,PRB_EST_03_004,Intervalos de Confiança,Intervalos de Confiança
subassunto,PRB_EST_03_006,PRB_EST_03_005,Testes de Hipóteses e Significância,Testes de Hipóteses e Significância
assunto,PRB_EST_04,PRB_EST_04,Probabilidade,Probabilidade
subassunto,PRB_EST_04_001,PRB_EST_04_001,Árvores de Eventos,Árvores de Eventos
subassunto,PRB_EST_04_002,PRB_EST_04_002,"Fundamentos, Espaço Amostral e Axiomas","Fundamentos, Espaço Amostral e Axiomas"
subassunto,PRB_EST_04_003,PRB_EST_04_003,"Independência, Dependência e Ensaios Sucessivos","Independência, Dependência e Ensaios Sucessivos"
subassunto,PRB_EST_04_004,PRB_EST_04_004,Operações com Eventos,Operações com Eventos
subassunto,PRB_EST_04_005,PRB_EST_04_005,Probabilidade Clássica e Métodos Combinatórios,Probabilidade Clássica e Métodos Combinatórios
subassunto,PRB_EST_04_006,PRB_EST_04_006,"Probabilidade Condicional, Bayes e Probabilidade Total","Probabilidade Condicional, Bayes e Probabilidade Total"
subassunto,PRB_EST_04_008,PRB_EST_04_007,Probabilidade em Amostragem Finita,Probabilidade em Amostragem Finita
assunto,PRB_EST_05,PRB_EST_05,Variáveis Aleatórias e Distribuições,Variáveis Aleatórias e Distribuições
subassunto,PRB_EST_05_001,PRB_EST_05_001,Conceitos Gerais de Variáveis Aleatórias,Conceitos Gerais de Variáveis Aleatórias
subassunto,PRB_EST_05_002,PRB_EST_05_002,Distribuição Binomial e Bernoulli,Distribuição Binomial e Bernoulli
subassunto,PRB_EST_05_003,PRB_EST_05_003,Distribuição de Poisson,Distribuição de Poisson
subassunto,PRB_EST_05_005,PRB_EST_05_004,Distribuição Exponencial e Weibull,Distribuição Exponencial e Weibull
subassunto,PRB_EST_05_006,PRB_EST_05_005,Distribuição Geométrica,Distribuição Geométrica
subassunto,PRB_EST_05_007,PRB_EST_05_006,Distribuição Hipergeométrica,Distribuição Hipergeométrica
subassunto,PRB_EST_05_008,PRB_EST_05_007,Distribuição Normal e Teorema Central do Limite,Distribuição Normal e Teorema Central do Limite
subassunto,PRB_EST_05_010,PRB_EST_05_008,"Esperança, Variância e Momentos","Esperança, Variância e Momentos"
subassunto,PRB_EST_05_004,PRB_EST_05_009,Função de Distribuição e Densidade de Probabilidade,Função de Distribuição e Densidade de Probabilidade
assunto,QUI_GER_01,QUI_GER_01,Cinética Química,Cinética Química
subassunto,QUI_GER_01_002,QUI_GER_01_001,Fatores que Afetam a Velocidade de Reação,Fatores que Afetam a Velocidade de Reação
subassunto,QUI_GER_01_003,QUI_GER_01_002,"Lei de Velocidade, Ordem de Reação e Arrhenius","Lei de Velocidade, Ordem de Reação e Arrhenius"
assunto,QUI_GER_02,QUI_GER_02,Eletroquímica,Eletroquímica
subassunto,QUI_GER_02_001,QUI_GER_02_001,Eletrólise,Eletrólise
subassunto,QUI_GER_02_003,QUI_GER_02_002,Oxidação e Redução,Oxidação e Redução
subassunto,QUI_GER_02_004,QUI_GER_02_003,Pilhas e Potenciais Eletroquímicos,Pilhas e Potenciais Eletroquímicos
assunto,QUI_GER_03,QUI_GER_03,Equilíbrio Químico,Equilíbrio Químico
subassunto,QUI_GER_03_001,QUI_GER_03_001,Equilíbrio Ácido-Base,Equilíbrio Ácido-Base
subassunto,QUI_GER_03_002,QUI_GER_03_002,Equilíbrio de Solubilidade,Equilíbrio de Solubilidade
subassunto,QUI_GER_03_003,QUI_GER_03_003,Equilíbrio Químico e Constantes,Equilíbrio Químico e Constantes
subassunto,QUI_GER_03_004,QUI_GER_03_004,Princípio de Le Chatelier,Princípio de Le Chatelier
assunto,QUI_GER_04,QUI_GER_04,Estequiometria,Estequiometria
subassunto,QUI_GER_04_002,QUI_GER_04_001,Cálculos Estequiométricos,Cálculos Estequiométricos
subassunto,QUI_GER_04_004,QUI_GER_04_002,Reagente Limitante e Rendimento,Reagente Limitante e Rendimento
assunto,QUI_GER_05,QUI_GER_05,Estrutura Atômica e Periodicidade,Estrutura Atômica e Periodicidade
subassunto,QUI_GER_05_001,QUI_GER_05_001,Estrutura Atômica,Estrutura Atômica
subassunto,QUI_GER_05_003,QUI_GER_05_002,Ligações Químicas e Geometria Molecular,Ligações Químicas e Geometria Molecular
subassunto,QUI_GER_05_004,QUI_GER_05_003,Propriedades Periódicas,Propriedades Periódicas
assunto,QUI_GER_06,QUI_GER_06,Funções Inorgânicas e Reações Químicas,Funções Inorgânicas e Reações Químicas
subassunto,QUI_GER_06_001,QUI_GER_06_001,Funções Inorgânicas,Funções Inorgânicas
assunto,QUI_GER_07,QUI_GER_07,Soluções,Soluções
subassunto,QUI_GER_07_001,QUI_GER_07_001,Concentração de Soluções,Concentração de Soluções
subassunto,QUI_GER_07_002,QUI_GER_07_002,Diluição e Mistura de Soluções,Diluição e Mistura de Soluções
subassunto,QUI_GER_07_003,QUI_GER_07_003,Propriedades das Soluções,Propriedades das Soluções
assunto,RES_MAT_01,RES_MAT_01,Critérios de Falha,Critérios de Falha
subassunto,RES_MAT_01_001,RES_MAT_01_001,Critério de Rankine,Critério de Rankine
subassunto,RES_MAT_01_002,RES_MAT_01_002,Critério de Tresca,Critério de Tresca
subassunto,RES_MAT_01_003,RES_MAT_01_003,Critério de von Mises,Critério de von Mises
subassunto,RES_MAT_01_004,RES_MAT_01_004,Critérios de Mohr,Critérios de Mohr
assunto,RES_MAT_02,RES_MAT_02,Esforços Solicitantes e Diagramas,Esforços Solicitantes e Diagramas
subassunto,RES_MAT_02_001,RES_MAT_02_001,Diagramas de Esforços Internos,Diagramas de Esforços Internos
subassunto,RES_MAT_02_002,RES_MAT_02_002,Esforço Cortante,Esforço Cortante
subassunto,RES_MAT_02_003,RES_MAT_02_003,Esforço Normal,Esforço Normal
subassunto,RES_MAT_02_004,RES_MAT_02_004,Momento Fletor,Momento Fletor
assunto,RES_MAT_03,RES_MAT_03,Flambagem e Estabilidade,Flambagem e Estabilidade
subassunto,RES_MAT_03_002,RES_MAT_03_001,Comprimento Efetivo,Comprimento Efetivo
subassunto,RES_MAT_03_003,RES_MAT_03_002,Flambagem de Colunas e Carga Crítica de Euler,Flambagem de Colunas e Carga Crítica de Euler
assunto,RES_MAT_04,RES_MAT_04,"Flexão, Cisalhamento e Deflexão em Vigas","Flexão, Cisalhamento e Deflexão em Vigas"
subassunto,RES_MAT_04_002,RES_MAT_04_001,Deflexão de Vigas e Linha Elástica,Deflexão de Vigas e Linha Elástica
subassunto,RES_MAT_04_003,RES_MAT_04_002,Flexão em Vigas,Flexão em Vigas
assunto,RES_MAT_05,RES_MAT_05,Propriedades Geométricas de Seções Planas,Propriedades Geométricas de Seções Planas
subassunto,RES_MAT_05_001,RES_MAT_05_001,Centroide,Centroide
subassunto,RES_MAT_05_002,RES_MAT_05_002,Momento de Inércia de Área,Momento de Inércia de Área
subassunto,RES_MAT_05_004,RES_MAT_05_003,Teorema dos Eixos Paralelos,Teorema dos Eixos Paralelos
assunto,RES_MAT_06,RES_MAT_06,"Tensão, Deformação e Carregamento Axial","Tensão, Deformação e Carregamento Axial"
subassunto,RES_MAT_06_001,RES_MAT_06_001,Carregamento Axial,Carregamento Axial
subassunto,RES_MAT_06_002,RES_MAT_06_002,Deformação Axial,Deformação Axial
subassunto,RES_MAT_06_007,RES_MAT_06_003,Deformação e Tensão Térmica,Deformação e Tensão Térmica
subassunto,RES_MAT_06_003,RES_MAT_06_004,Lei de Hooke e Módulo de Elasticidade,Lei de Hooke e Módulo de Elasticidade
subassunto,RES_MAT_06_005,RES_MAT_06_005,Razão de Poisson,Razão de Poisson
subassunto,RES_MAT_06_006,RES_MAT_06_006,Tensão e Deformação,Tensão e Deformação
assunto,RES_MAT_07,RES_MAT_07,Tensões e Deformações Planas,Tensões e Deformações Planas
subassunto,RES_MAT_07_001,RES_MAT_07_001,Círculo de Mohr,Círculo de Mohr
subassunto,RES_MAT_07_003,RES_MAT_07_002,Tensões Principais,Tensões Principais
subassunto,RES_MAT_07_004,RES_MAT_07_003,Transformação de Tensões,Transformação de Tensões
subassunto,RES_MAT_07_005,RES_MAT_07_004,Vasos de Pressão de Parede Fina,Vasos de Pressão de Parede Fina
assunto,RES_MAT_09,RES_MAT_08,Torção,Torção
subassunto,RES_MAT_09_001,RES_MAT_08_001,Ângulo de Torção,Ângulo de Torção
subassunto,RES_MAT_09_002,RES_MAT_08_002,Eixos Circulares,Eixos Circulares
assunto,TERMOD_01,TERMOD_01,Calorimetria,Calorimetria
subassunto,TERMOD_01_003,TERMOD_01_001,Calor Sensível e Latente,Calor Sensível e Latente
subassunto,TERMOD_01_004,TERMOD_01_002,Capacidade Calorífica,Capacidade Calorífica
assunto,TERMOD_02,TERMOD_02,Ciclos de Potência,Ciclos de Potência
subassunto,TERMOD_02_001,TERMOD_02_001,Ciclo Brayton,Ciclo Brayton
subassunto,TERMOD_02_002,TERMOD_02_002,Ciclo Diesel,Ciclo Diesel
subassunto,TERMOD_02_003,TERMOD_02_003,Ciclo Otto,Ciclo Otto
subassunto,TERMOD_02_004,TERMOD_02_004,Ciclo Rankine,Ciclo Rankine
subassunto,TERMOD_02_005,TERMOD_02_005,"Regeneração, Reaquecimento e Inter-resfriamento","Regeneração, Reaquecimento e Inter-resfriamento"
subassunto,TERMOD_02_006,TERMOD_02_006,Rendimento Térmico de Ciclos,Rendimento Térmico de Ciclos
assunto,TERMOD_03,TERMOD_03,Equilíbrio de Fases,Equilíbrio de Fases
subassunto,TERMOD_03_001,TERMOD_03_001,Diagramas de Fases,Diagramas de Fases
subassunto,TERMOD_03_003,TERMOD_03_002,Lei de Raoult e Pontos de Bolha e Orvalho,Lei de Raoult e Pontos de Bolha e Orvalho
subassunto,TERMOD_03_006,TERMOD_03_003,Regra das Fases de Gibbs e Potencial Químico,Regra das Fases de Gibbs e Potencial Químico
assunto,TERMOD_04,TERMOD_04,Fundamentos da Termodinâmica,Fundamentos da Termodinâmica
subassunto,TERMOD_04_001,TERMOD_04_001,"Conceitos, Estado e Lei Zero","Conceitos, Estado e Lei Zero"
subassunto,TERMOD_04_003,TERMOD_04_002,Processos Termodinâmicos,Processos Termodinâmicos
subassunto,TERMOD_04_004,TERMOD_04_003,Propriedades Intensivas e Extensivas,Propriedades Intensivas e Extensivas
assunto,TERMOD_05,TERMOD_05,Gases e Equações de Estado,Gases e Equações de Estado
subassunto,TERMOD_05_001,TERMOD_05_001,Equações de Estado de Gases Reais,Equações de Estado de Gases Reais
subassunto,TERMOD_05_002,TERMOD_05_002,Fator de Compressibilidade,Fator de Compressibilidade
subassunto,TERMOD_05_003,TERMOD_05_003,Gás Ideal,Gás Ideal
subassunto,TERMOD_05_004,TERMOD_05_004,Misturas de Gases e Lei de Dalton,Misturas de Gases e Lei de Dalton
assunto,TERMOD_06,TERMOD_06,Primeira Lei da Termodinâmica,Primeira Lei da Termodinâmica
subassunto,TERMOD_06_001,TERMOD_06_001,Balanço de Energia em Sistemas Fechados,Balanço de Energia em Sistemas Fechados
subassunto,TERMOD_06_002,TERMOD_06_002,Balanço de Energia em Volumes de Controle,Balanço de Energia em Volumes de Controle
subassunto,TERMOD_06_003,TERMOD_06_003,Efeito Joule-Thomson,Efeito Joule-Thomson
subassunto,TERMOD_06_004,TERMOD_06_004,Entalpia e Energia Interna,Entalpia e Energia Interna
subassunto,TERMOD_06_005,TERMOD_06_005,Equipamentos de Escoamento Permanente,Equipamentos de Escoamento Permanente
subassunto,TERMOD_06_006,TERMOD_06_006,Trabalho e Calor,Trabalho e Calor
assunto,TERMOD_07,TERMOD_07,Propriedades de Substâncias Puras,Propriedades de Substâncias Puras
subassunto,TERMOD_07_001,TERMOD_07_001,Diagramas de Propriedades,Diagramas de Propriedades
subassunto,TERMOD_07_002,TERMOD_07_002,Estados de Saturação e Título,Estados de Saturação e Título
subassunto,TERMOD_07_003,TERMOD_07_003,Ponto Crítico e Ponto Triplo,Ponto Crítico e Ponto Triplo
assunto,TERMOD_08,TERMOD_08,Psicrometria,Psicrometria
subassunto,TERMOD_08_001,TERMOD_08_001,Carta Psicrométrica,Carta Psicrométrica
subassunto,TERMOD_08_004,TERMOD_08_002,Processos Psicrométricos,Processos Psicrométricos
subassunto,TERMOD_08_006,TERMOD_08_003,Umidade e Ponto de Orvalho,Umidade e Ponto de Orvalho
assunto,TERMOD_09,TERMOD_09,Refrigeração e Bombas de Calor,Refrigeração e Bombas de Calor
subassunto,TERMOD_09_001,TERMOD_09_001,Bombas de Calor,Bombas de Calor
subassunto,TERMOD_09_002,TERMOD_09_002,Ciclo de Compressão de Vapor,Ciclo de Compressão de Vapor
subassunto,TERMOD_09_003,TERMOD_09_003,Coeficiente de Performance,Coeficiente de Performance
subassunto,TERMOD_09_004,TERMOD_09_004,Refrigeração de Carnot,Refrigeração de Carnot
assunto,TERMOD_10,TERMOD_10,Relações Termodinâmicas,Relações Termodinâmicas
subassunto,TERMOD_10_001,TERMOD_10_001,Funções de Gibbs e Helmholtz,Funções de Gibbs e Helmholtz
subassunto,TERMOD_10_002,TERMOD_10_002,Relações de Maxwell,Relações de Maxwell
subassunto,TERMOD_10_003,TERMOD_10_003,Relações entre Propriedades Termodinâmicas,Relações entre Propriedades Termodinâmicas
assunto,TERMOD_11,TERMOD_11,Segunda Lei da Termodinâmica,Segunda Lei da Termodinâmica
subassunto,TERMOD_11_001,TERMOD_11_001,Ciclo de Carnot,Ciclo de Carnot
subassunto,TERMOD_11_003,TERMOD_11_002,Entropia,Entropia
subassunto,TERMOD_11_005,TERMOD_11_003,"Irreversibilidade, Exergia e Rendimento de Segunda Lei","Irreversibilidade, Exergia e Rendimento de Segunda Lei"
assunto,TERMOD_12,TERMOD_12,Termoquímica e Combustão,Termoquímica e Combustão
subassunto,TERMOD_12_001,TERMOD_12_001,Combustão Estequiométrica,Combustão Estequiométrica
subassunto,TERMOD_12_002,TERMOD_12_002,Entalpia de Formação e Reação,Entalpia de Formação e Reação
subassunto,TERMOD_12_003,TERMOD_12_003,Poder Calorífico,Poder Calorífico
assunto,TRA_CAL_02,TRA_CAL_01,Condução Térmica,Condução Térmica
subassunto,TRA_CAL_02_008,TRA_CAL_01_001,Aletas,Aletas
subassunto,TRA_CAL_02_001,TRA_CAL_01_002,Condução Cilíndrica,Condução Cilíndrica
subassunto,TRA_CAL_02_003,TRA_CAL_01_003,Condução Transiente,Condução Transiente
subassunto,TRA_CAL_02_007,TRA_CAL_01_004,Propriedades Térmicas,Condutividade e Difusividade Térmica
subassunto,TRA_CAL_02_004,TRA_CAL_01_005,Geração Interna de Calor,Geração Interna de Calor
subassunto,TRA_CAL_02_005,TRA_CAL_01_006,Lei de Fourier,Lei de Fourier
subassunto,TRA_CAL_02_006,TRA_CAL_01_007,Paredes Compostas,Paredes Compostas
assunto,TRA_CAL_03,TRA_CAL_02,Convecção,Convecção
subassunto,TRA_CAL_03_001,TRA_CAL_02_001,Convecção com Mudança de Fase,Convecção com Mudança de Fase
subassunto,TRA_CAL_03_002,TRA_CAL_02_002,Convecção Forçada,Convecção Forçada
subassunto,TRA_CAL_03_003,TRA_CAL_02_003,Convecção Natural,Convecção Natural
subassunto,TRA_CAL_03_004,TRA_CAL_02_004,"Números de Nusselt, Reynolds e Prandtl","Números de Nusselt, Reynolds e Prandtl"
assunto,TRA_CAL_04,TRA_CAL_03,Fundamentos de Transferência de Calor,Fundamentos de Transferência de Calor
subassunto,TRA_CAL_04_002,TRA_CAL_03_001,Mecanismos de Transferência de Calor,Mecanismos de Transferência de Calor
subassunto,TRA_CAL_04_003,TRA_CAL_03_002,Resistência Térmica,Resistência Térmica
assunto,TRA_CAL_05,TRA_CAL_04,Radiação Térmica,Radiação Térmica
subassunto,TRA_CAL_05_001,TRA_CAL_04_001,Corpo Negro e Lei de Stefan-Boltzmann,Corpo Negro e Lei de Stefan-Boltzmann
subassunto,TRA_CAL_05_002,TRA_CAL_04_002,Fatores de Forma e Troca Radiativa,Fatores de Forma e Troca Radiativa
subassunto,TRA_CAL_05_003,TRA_CAL_04_003,Propriedades Radiativas,Propriedades Radiativas
assunto,TRA_CAL_07,TRA_CAL_05,Trocadores de Calor,Trocadores de Calor
subassunto,TRA_CAL_07_001,TRA_CAL_05_001,Balanço de Energia em Trocadores,Balanço de Energia em Trocadores
subassunto,TRA_CAL_07_002,TRA_CAL_05_002,Configurações de Trocadores,Configurações de Trocadores
subassunto,TRA_CAL_07_003,TRA_CAL_05_003,Efetividade e Método NTU,Efetividade e Método NTU
subassunto,TRA_CAL_07_004,TRA_CAL_05_004,Método da Diferença de Temperatura Média Logarítmica,Método da Diferença de Temperatura Média Logarítmica
